geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK,XK
NL,0.0,0.0,0.0,1775.618,0.0,0.0,20913.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3876.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.386,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2623.966,0.0,0.0,75.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.654,0.0,0.0,0.0,0.0,5297.482,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.0,609.416,7054.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3098.387,0.0,27.992,0.0,1410.155,0.0,0.0
RO,0.0,0.0,0.0,0.0,1728.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.793,0.0,0.0,0.0,0.0,73.315,0.0,0.0
RS,0.0,0.0,488.334,0.0,2306.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.066,271.972,0.0,0.0,0.0,0.0,0.0,755.581,166.001,0.0,0.0,0.0,0.0,1797.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,452.0,2795.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,8183.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,4096.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4774.042,0.0,0.0,60.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,8962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3236.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
TR,0.0,0.0,0.0,0.0,2051.283,0.0,0.0,0.0,0.0,10.676,0.0,0.0,414.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13286.841,0.0,0.0,0.0,1653.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6391.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
