geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK,XK
MK,0.0,0.0,0.0,0.0,2912.396,0.0,0.0,0.0,0.0,1104.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.947,0.0,0.0,0.0,0.0,0.0,0.0,566.633
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.0,0.0,5218.113,0.0,0.0,9084.687,3005.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.363,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,1106.677,1667.761,0.0,0.0,18.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.223,0.0,0.0,0.0,0.0,5019.831,0.0,0.0,0.0,0.0,39.97,0.0
PL,0.0,0.0,0.0,0.0,0.0,342.356,8733.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432.386,0.0,77.673,0.0,829.077,0.0,0.0
RO,0.0,0.0,0.0,0.0,4569.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2286.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.477,0.0,0.0,0.0,0.0,194.282,0.0,0.0
RS,0.0,0.0,812.426,0.0,2710.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.65,562.955,0.0,0.0,0.0,0.0,617.769,286.974,0.0,0.0,0.0,0.0,1382.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,275.0,1764.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,3985.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4328.128,0.0,73.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,8884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4627.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0
TR,0.0,0.0,0.0,0.0,1059.227,0.0,0.0,0.0,0.0,20.281,0.0,0.0,1254.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XK,895.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.967,354.341,0.0,0.0,0.0,0.0,0.0,1602.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
