partner,unit,geo,TIME_PERIOD,OBS_VALUE
TOTAL,GWH,RS,1997,2001.0
TOTAL,GWH,RS,1998,2071.0
TOTAL,GWH,RS,1999,1420.0
TOTAL,GWH,RS,2000,1860.0
TOTAL,GWH,RS,2001,1630.0
TOTAL,GWH,RS,2002,2300.0
TOTAL,GWH,RS,2003,1786.0
TOTAL,GWH,RS,2004,6248.0
TOTAL,GWH,RS,2005,8694.0
TOTAL,GWH,RS,2006,9377.0
TOTAL,GWH,RS,2007,9192.0
TOTAL,GWH,RS,2008,8802.0
TOTAL,GWH,RS,2009,6609.0
TOTAL,GWH,RS,2010,5917.0
TOTAL,GWH,RS,2011,6979.0
TOTAL,GWH,RS,2012,5392.0
TOTAL,GWH,RS,2013,6614.0
TOTAL,GWH,RS,2014,5445.0
TOTAL,GWH,RS,2015,7221.0
TOTAL,GWH,RS,2016,6990.0
TOTAL,GWH,RS,2017,5724.139
TOTAL,GWH,RS,2018,6283.513
TOTAL,GWH,RS,2019,5340.968
TOTAL,GWH,RS,2020,5674.743
TOTAL,GWH,RS,2021,6333.095
TOTAL,GWH,SE,1990,14677.0
TOTAL,GWH,SE,1991,7519.0
TOTAL,GWH,SE,1992,11003.0
TOTAL,GWH,SE,1993,8566.0
TOTAL,GWH,SE,1994,6418.0
TOTAL,GWH,SE,1995,9401.0
TOTAL,GWH,SE,1996,9747.0
TOTAL,GWH,SE,1997,12960.0
TOTAL,GWH,SE,1998,16799.0
TOTAL,GWH,SE,1999,15938.0
TOTAL,GWH,SE,2000,13630.0
TOTAL,GWH,SE,2001,18454.0
TOTAL,GWH,SE,2002,14754.0
TOTAL,GWH,SE,2003,11457.0
TOTAL,GWH,SE,2004,17750.0
TOTAL,GWH,SE,2005,21968.0
TOTAL,GWH,SE,2006,11497.0
TOTAL,GWH,SE,2007,14736.0
TOTAL,GWH,SE,2008,14715.0
TOTAL,GWH,SE,2009,9080.0
TOTAL,GWH,SE,2010,12853.0
TOTAL,GWH,SE,2011,19714.0
TOTAL,GWH,SE,2012,31255.0
TOTAL,GWH,SE,2013,22676.0
TOTAL,GWH,SE,2014,29475.0
TOTAL,GWH,SE,2015,31894.0
TOTAL,GWH,SE,2016,26022.0
TOTAL,GWH,SE,2017,30888.0
TOTAL,GWH,SE,2018,29425.0
TOTAL,GWH,SE,2019,35231.0
TOTAL,GWH,SE,2020,36824.0
TOTAL,GWH,SE,2021,33909.0
TOTAL,GWH,SI,1990,2704.0
TOTAL,GWH,SI,1991,3157.0
TOTAL,GWH,SI,1992,2142.0
TOTAL,GWH,SI,1993,2124.0
TOTAL,GWH,SI,1994,2382.0
TOTAL,GWH,SI,1995,2392.0
TOTAL,GWH,SI,1996,2516.0
TOTAL,GWH,SI,1997,2520.0
TOTAL,GWH,SI,1998,2630.0
TOTAL,GWH,SI,1999,1934.0
TOTAL,GWH,SI,2000,5553.0
TOTAL,GWH,SI,2001,4926.0
TOTAL,GWH,SI,2002,4928.0
TOTAL,GWH,SI,2003,5811.0
TOTAL,GWH,SI,2004,8189.0
TOTAL,GWH,SI,2005,9667.0
TOTAL,GWH,SI,2006,7662.0
TOTAL,GWH,SI,2007,5877.0
TOTAL,GWH,SI,2008,7824.0
TOTAL,GWH,SI,2009,10839.0
TOTAL,GWH,SI,2010,10745.0
TOTAL,GWH,SI,2011,8408.0
TOTAL,GWH,SI,2012,8491.0
TOTAL,GWH,SI,2013,8811.0
TOTAL,GWH,SI,2014,9997.0
TOTAL,GWH,SI,2015,9093.0
TOTAL,GWH,SI,2016,9535.0
TOTAL,GWH,SI,2017,9648.192
TOTAL,GWH,SI,2018,9432.402
TOTAL,GWH,SI,2019,9339.829
TOTAL,GWH,SI,2020,9123.056
TOTAL,GWH,SI,2021,8657.572
TOTAL,GWH,SK,1990,2059.0
TOTAL,GWH,SK,1991,1723.0
TOTAL,GWH,SK,1992,2527.0
TOTAL,GWH,SK,1993,2880.0
TOTAL,GWH,SK,1994,2379.0
TOTAL,GWH,SK,1995,2065.0
TOTAL,GWH,SK,1996,2353.0
TOTAL,GWH,SK,1997,2743.0
TOTAL,GWH,SK,1998,3091.0
TOTAL,GWH,SK,1999,3180.0
TOTAL,GWH,SK,2000,8647.0
TOTAL,GWH,SK,2001,9743.0
TOTAL,GWH,SK,2002,10867.0
TOTAL,GWH,SK,2003,10878.0
TOTAL,GWH,SK,2004,10593.0
TOTAL,GWH,SK,2005,11270.0
TOTAL,GWH,SK,2006,10921.0
TOTAL,GWH,SK,2007,11855.0
TOTAL,GWH,SK,2008,8891.0
TOTAL,GWH,SK,2009,7682.0
TOTAL,GWH,SK,2010,6293.0
TOTAL,GWH,SK,2011,10500.0
TOTAL,GWH,SK,2012,13079.0
TOTAL,GWH,SK,2013,10628.0
TOTAL,GWH,SK,2014,11862.0
TOTAL,GWH,SK,2015,12611.0
TOTAL,GWH,SK,2016,10598.0
TOTAL,GWH,SK,2017,12535.0
TOTAL,GWH,SK,2018,8746.0
TOTAL,GWH,SK,2019,11838.0
TOTAL,GWH,SK,2020,12970.0
TOTAL,GWH,SK,2021,13110.0
TOTAL,GWH,TR,1990,907.0
TOTAL,GWH,TR,1991,506.0
TOTAL,GWH,TR,1992,314.0
TOTAL,GWH,TR,1993,589.0
TOTAL,GWH,TR,1994,570.0
TOTAL,GWH,TR,1995,696.0
TOTAL,GWH,TR,1996,343.0
TOTAL,GWH,TR,1997,271.0
TOTAL,GWH,TR,1998,298.0
TOTAL,GWH,TR,1999,285.0
TOTAL,GWH,TR,2000,437.0
TOTAL,GWH,TR,2001,433.0
TOTAL,GWH,TR,2002,435.0
TOTAL,GWH,TR,2003,588.0
TOTAL,GWH,TR,2004,1144.0
TOTAL,GWH,TR,2005,1798.0
TOTAL,GWH,TR,2006,2236.0
TOTAL,GWH,TR,2007,2422.0
TOTAL,GWH,TR,2008,1122.0
TOTAL,GWH,TR,2009,1546.0
TOTAL,GWH,TR,2010,1918.0
TOTAL,GWH,TR,2011,3645.0
TOTAL,GWH,TR,2012,2954.0
TOTAL,GWH,TR,2013,1227.0
TOTAL,GWH,TR,2014,2696.0
TOTAL,GWH,TR,2015,3195.0
TOTAL,GWH,TR,2016,1452.0
TOTAL,GWH,TR,2017,3303.673
TOTAL,GWH,TR,2018,3111.877
TOTAL,GWH,TR,2019,2788.667
TOTAL,GWH,TR,2020,2483.643
TOTAL,GWH,TR,2021,4186.383
TOTAL,GWH,UA,1990,43872.0
TOTAL,GWH,UA,1991,33122.0
TOTAL,GWH,UA,1992,20502.0
TOTAL,GWH,UA,1993,17316.0
TOTAL,GWH,UA,1994,13420.0
TOTAL,GWH,UA,1995,12678.0
TOTAL,GWH,UA,1996,6183.0
TOTAL,GWH,UA,1997,9873.0
TOTAL,GWH,UA,1998,10728.0
TOTAL,GWH,UA,1999,10405.0
TOTAL,GWH,UA,2000,6528.0
TOTAL,GWH,UA,2001,5196.0
TOTAL,GWH,UA,2002,8576.0
TOTAL,GWH,UA,2003,12175.0
TOTAL,GWH,UA,2004,7529.0
TOTAL,GWH,UA,2005,10068.0
TOTAL,GWH,UA,2006,12519.0
TOTAL,GWH,UA,2007,12554.0
TOTAL,GWH,UA,2008,8831.0
TOTAL,GWH,UA,2009,4294.0
TOTAL,GWH,UA,2010,4078.0
TOTAL,GWH,UA,2011,6322.0
TOTAL,GWH,UA,2012,11561.0
TOTAL,GWH,UA,2013,9929.0
TOTAL,GWH,UA,2014,8523.0
TOTAL,GWH,UA,2015,3591.0
TOTAL,GWH,UA,2016,3830.0
TOTAL,GWH,UA,2017,5226.0
TOTAL,GWH,UA,2018,6099.0
TOTAL,GWH,UA,2019,6282.9
TOTAL,GWH,UA,2020,5139.8
TOTAL,GWH,UK,1990,47.0
TOTAL,GWH,UK,1991,15.0
TOTAL,GWH,UK,1992,31.0
TOTAL,GWH,UK,1993,5.0
TOTAL,GWH,UK,1995,23.0
TOTAL,GWH,UK,1996,37.0
TOTAL,GWH,UK,1997,41.0
TOTAL,GWH,UK,1998,131.0
TOTAL,GWH,UK,1999,263.0
TOTAL,GWH,UK,2000,134.0
TOTAL,GWH,UK,2001,264.0
TOTAL,GWH,UK,2002,768.0
TOTAL,GWH,UK,2003,2959.0
TOTAL,GWH,UK,2004,2294.0
TOTAL,GWH,UK,2005,2839.0
TOTAL,GWH,UK,2006,2765.0
TOTAL,GWH,UK,2007,3398.0
TOTAL,GWH,UK,2008,1271.0
TOTAL,GWH,UK,2009,3748.0
TOTAL,GWH,UK,2010,4482.0
TOTAL,GWH,UK,2011,2467.0
TOTAL,GWH,UK,2012,1911.0
TOTAL,GWH,UK,2013,3101.0
TOTAL,GWH,UK,2014,2723.0
TOTAL,GWH,UK,2015,1855.313
TOTAL,GWH,UK,2016,2272.867
TOTAL,GWH,UK,2017,3407.05
TOTAL,GWH,UK,2018,2224.764
TOTAL,GWH,UK,2019,3385.117
TOTAL,GWH,XK,2000,159.0
TOTAL,GWH,XK,2001,201.0
TOTAL,GWH,XK,2002,200.0
TOTAL,GWH,XK,2003,195.0
TOTAL,GWH,XK,2004,195.0
TOTAL,GWH,XK,2005,226.0
TOTAL,GWH,XK,2006,253.0
TOTAL,GWH,XK,2007,370.0
TOTAL,GWH,XK,2008,296.0
TOTAL,GWH,XK,2009,274.0
TOTAL,GWH,XK,2010,353.0
TOTAL,GWH,XK,2011,2717.0
TOTAL,GWH,XK,2012,2619.0
TOTAL,GWH,XK,2013,2893.0
TOTAL,GWH,XK,2014,475.0
TOTAL,GWH,XK,2015,553.0
TOTAL,GWH,XK,2016,1064.0
TOTAL,GWH,XK,2017,879.91
TOTAL,GWH,XK,2018,676.815
TOTAL,GWH,XK,2019,904.989
TOTAL,GWH,XK,2020,1283.206
TOTAL,GWH,XK,2021,2649.271
