geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK,XK
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.0,0.0,7320.228,0.0,0.0,7640.885,875.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4431.715,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,4409.222,8147.371,0.0,0.0,276.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3632.015,0.0,0.0,0.0,0.0,7812.821,0.0,0.0,0.0,0.0,1540.582,0.0
PL,0.0,0.0,0.0,0.0,0.0,8353.697,325.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.194,0.0,4626.617,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.0,1664.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2462.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217.949,0.0,0.0,0.0,0.0,153.471,0.0,0.0
RS,0.0,0.0,879.15,0.0,39.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.474,1094.615,0.0,0.0,0.0,0.0,0.0,315.18,532.522,0.0,0.0,0.0,0.0,534.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,2268.0,6666.0,0.0,0.0,15013.0,0.0,0.0,0.0,0.0,0.0,0.0,3445.0,0.0,0.0,0.0,0.0,0.0,0.0,3086.0,3431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,709.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2498.67,0.0,5449.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.0,0.0,0.0
TR,0.0,0.0,0.0,0.0,260.239,0.0,0.0,0.0,0.0,2912.232,0.0,0.0,162.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XK,764.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.085,727.998,0.0,0.0,0.0,0.0,0.0,333.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
