geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IE,IT,LI,LT,LU,LV,MD,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK
AT,0.0,0.0,0.0,0.0,0.0,144.762,3949.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6223.946,0.0,1228.135,304.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5871.657,0.0,0.0,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.3,0.0,0.0,0.0,0.0,0.0,4986.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5485.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2235.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2266.613,0.0,0.0,0.0,0.0,993.242,1391.602,0.0,0.0,0.0,1967.693,0.0,0.0
CZ,0.0,9431.534,0.0,0.0,0.0,0.0,3445.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.71,0.0,0.0,0.0,0.0,10220.089,0.0,0.0,0.0
DE,0.0,15803.0,0.0,0.0,0.0,7352.0,0.0,0.0,0.0,0.0,0.0,2478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11480.0,0.0,10086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,3069.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.9,3299.851,0.0,0.0,0.0,3165.827,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL,790.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
